hour,,day,,,lat,lng,,,,,,,,weight
11,,thursday,,,23.881433,90.2683015,,,,,,,,0
11,,sunday,,,23.784506,90.403409,,,,,,,,21.4
5,,saturday,,,23.78241147,90.33740957,,,,,,,,7.5
10,,monday,,,23.707042,90.423069,,,,,,,,6.4
3,,friday,,,23.728907,90.417137,,,,,,,,0
9,,sunday,,,23.784506,90.403409,,,,,,,,2
4,,saturday,,,23.784506,90.403409,,,,,,,,22.7
9,,saturday,,,23.749054,90.386405,,,,,,,,1.9
7,,saturday,,,23.749054,90.386405,,,,,,,,12.7
4,,thursday,,,23.7917,90.4167,,,,,,,,11.2
7,,friday,,,23.7917,90.4167,,,,,,,,6.1
12,,sunday,,,23.7917,90.4167,,,,,,,,0
9,,saturday,,,23.74819,90.394162,,,,,,,,1.9
7,,sunday,,,23.743883,90.392304,,,,,,,,1.5
10,,wednesday,,,23.740038,90.35886,,,,,,,,0.4
3,,thursday,,,23.740038,90.35886,,,,,,,,0.1
5,,saturday,,,23.874875,90.393071,,,,,,,,4.2
5,,saturday,,,23.874875,90.393071,,,,,,,,4.2
1,,sunday,,,23.735582,90.422315,,,,,,,,0
4,,sunday,,,23.70956,90.4111575,,,,,,,,15
8,,sunday,,,23.70956,90.4111575,,,,,,,,1
6,,saturday,,,23.881433,90.2683015,,,,,,,,1.8
8,,monday,,,23.881433,90.2683015,,,,,,,,0.1
8,,wednesday,,,23.881433,90.2683015,,,,,,,,0
9,,sunday,,,23.881433,90.2683015,,,,,,,,0.8
6,,thursday,,,23.881433,90.2683015,,,,,,,,26.6
5,,friday,,,23.881433,90.2683015,,,,,,,,27.7
8,,friday,,,23.881433,90.2683015,,,,,,,,0.1
1,,friday,,,23.881433,90.2683015,,,,,,,,0
11,,monday,,,23.881433,90.2683015,,,,,,,,0.6
11,,tuesday,,,23.881433,90.2683015,,,,,,,,0
1,,wednesday,,,23.881433,90.2683015,,,,,,,,0
2,,tuesday,,,23.881433,90.2683015,,,,,,,,0
4,,tuesday,,,23.881433,90.2683015,,,,,,,,0
4,,tuesday,,,23.881433,90.2683015,,,,,,,,0.2
7,,sunday,,,23.881433,90.2683015,,,,,,,,0.4
3,,friday,,,23.881433,90.2683015,,,,,,,,0
4,,monday,,,23.714039,90.450656,,,,,,,,1.4
2,,monday,,,23.714039,90.450656,,,,,,,,0
8,,friday,,,23.714039,90.450656,,,,,,,,7.9
2,,thursday,,,23.714039,90.450656,,,,,,,,0
8,,saturday,,,23.73889,90.371214,,,,,,,,17
3,,monday,,,23.70956,90.4111575,,,,,,,,0
3,,saturday,,,23.881433,90.2683015,,,,,,,,4.8
12,,saturday,,,23.881433,90.2683015,,,,,,,,0
