id,incident_month,incident_week,day,weekend,part_of_the_day,hour,,lat,long,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,,humidity,visibility,,,season,crime,weight
160,7,30,wednesday,0,morning,6 - 11:59,,23.874875,90.393071,uttara,dhaka,dhaka,33,30,28,356,,79,9,,,rainy,murder,10
161,2,5,thursday,0,night,20 - 5:59,,23.874875,90.393071,uttara,dhaka,dhaka,31,26,19,113,,49,10,,,winter,murder,10
162,3,13,sunday,0,night,20 - 5:59,,23.874875,90.393071,uttara,dhaka,dhaka,35,31,24,353,,69,9,,,hot,murder,10
163,1,1,friday,1,evening,18 - 19:59,,23.874875,90.393071,uttara,dhaka,dhaka,29,24,18,113,,42,10,,,winter,murder,10
164,1,1,friday,1,evening,18 - 19:59,,23.874875,90.393071,uttara,dhaka,dhaka,29,24,18,113,,42,10,,,winter,murder,10
165,6,22,sunday,0,night,20 - 5:59,,23.874875,90.393071,uttara,dhaka,dhaka,36,33,28,356,,69,9,,,rainy,murder,10
166,10,42,monday,0,night,20 - 5:59,,23.728907,90.417137,uttarkhan,dhaka,dhaka,34,31,26,113,,68,10,,,rainy,murder,10
167,6,23,friday,1,morning,6 - 11:59,,23.80476,90.42575,vatara,dhaka,dhaka,37,34,29,176,,63,10,,,rainy,murder,10
168,11,44,saturday,1,evening,18 - 19:59,,23.913894,90.320686,ashulia,dhaka,dhaka,24,24,23,353,,95,8,,,winter,rape,7
169,2,7,saturday,1,morning,6 - 11:59,,23.728907,90.417137,agargaon,dhaka,dhaka,28,24,21,119,,52,10,,,winter,rape,7
170,8,33,tuesday,0,night,20 - 5:59,,23.728907,90.417137,agargaon,dhaka,dhaka,35,32,27,353,,74,10,,,rainy,rape,7
171,10,44,monday,0,morning,6 - 11:59,,23.782726,90.348319,aricha highway,dhaka,dhaka,31,27,22,143,,81,9,,,rainy,rape,7
172,5,22,thursday,0,morning,6 - 11:59,,23.913894,90.320686,ashulia,dhaka,dhaka,29,27,25,356,,87,8,,,hot,rape,7
173,2,5,monday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,30,25,20,116,,58,10,,,winter,rape,7
174,3,12,saturday,1,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,36,32,25,113,,47,10,,,hot,rape,7
175,8,33,thursday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,32,30,26,386,,82,9,,,rainy,rape,7
176,8,33,tuesday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,32,30,27,353,,81,10,,,rainy,rape,7
177,8,33,thursday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,32,30,26,386,,82,9,,,rainy,rape,7
178,8,32,monday,0,evening,18 - 19:59,,23.793708,90.453284,badda,dhaka,dhaka,33,31,28,386,,76,9,,,rainy,rape,7
179,8,32,monday,0,evening,18 - 19:59,,23.793708,90.453284,badda,dhaka,dhaka,33,31,28,386,,76,9,,,rainy,rape,7
180,10,43,tuesday,0,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,37,32,26,113,,70,10,,,rainy,rape,7
181,8,32,thursday,0,morning,6 - 11:59,,23.793708,90.453284,badda,dhaka,dhaka,34,31,26,386,,80,10,,,rainy,rape,7
182,11,45,saturday,1,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,35,30,24,113,,64,10,,,winter,rape,7
183,10,43,tuesday,0,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,37,32,26,113,,70,10,,,rainy,rape,7
184,3,10,sunday,0,evening,18 - 19:59,,23.793708,90.453284,badda,dhaka,dhaka,33,29,23,113,,28,10,,,hot,rape,7
185,11,48,thursday,0,night,20 - 5:59,,23.79259,90.407646,banani,dhaka,dhaka,31,27,22,113,,55,10,,,winter,rape,7
186,7,27,tuesday,0,night,20 - 5:59,,23.79259,90.407646,banani,dhaka,dhaka,33,31,28,356,,80,10,,,rainy,rape,7
187,3,13,tuesday,0,night,20 - 5:59,,23.79259,90.407646,banani,dhaka,dhaka,34,30,24,176,,69,9,,,hot,rape,7
